# Fictional fitness tracker data for the past 30 days
date         steps    calories_burned  heart_rate_avg  sleep_hours
2025-09-01   8234     1856             72              7.2
2025-09-02   10521    2315             78              6.8
2025-09-03   7650     1742             70              7.5
2025-09-04   9120     2045             74              6.5
2025-09-05   12340    2710             82              7.0
2025-09-06   11250    2482             79              7.8
2025-09-07   6800     1548             68              8.2
2025-09-08   8950     2012             73              7.1
2025-09-09   10780    2378             77              6.9
2025-09-10   11500    2540             80              7.3
2025-09-11   13200    2895             84              6.6
2025-09-12   14100    3102             86              7.0
2025-09-13   9800     2178             75              7.4
2025-09-14   7200     1635             69              8.0
2025-09-15   10250    2260             76              7.2
2025-09-16   11800    2605             81              6.8
2025-09-17   12650    2790             83              7.1
2025-09-18   13500    2975             85              6.5
2025-09-19   14800    3260             87              6.3
2025-09-20   11200    2470             79              7.6
2025-09-21   8500     1920             71              8.1
2025-09-22   9650     2135             74              7.5
2025-09-23   12100    2665             82              6.7
2025-09-24   13800    3040             85              6.4
2025-09-25   15200    3350             88              6.2
2025-09-26   14500    3195             86              6.8
2025-09-27   10800    2385             78              7.4
2025-09-28   9200     2055             73              7.9
2025-09-29   11600    2560             80              7.0
2025-09-30   13000    2865             84              6.6
